id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
17741	5607	dummy_value	darlene_20081896.html	as+time+goes+by_20320692.html
33187	33186	dummy_value	high+heeled+sneakers_20212431.html	high+heel+sneakers_20839474.html
81272	59347	dummy_value	waiting+in+the+weeds_20660819.html	orestes_20502682.html
77260	77259	dummy_value	the+wonderful+cross_20344859.html	the+wonderful+cross_10180229.html
62849	13987	dummy_value	ramble+on_20306756.html	cherish_20086885.html
59577	29522	dummy_value	out+on+the+tiles_20611286.html	good+times+bad+times_20082048.html
29234	26086	dummy_value	gone_20086943.html	forbidden+love_20086966.html
1562	1555	dummy_value	a+song+for+you_20809195.html	a+song+for+you_20027430.html
12888	12882	dummy_value	cant+stop_20086992.html	cant+stop+this+thing+we+started_20025535.html
75734	75722	dummy_value	the+long+winding+road_20116902.html	the+long+and+winding+road_20241182.html
75734	75721	dummy_value	the+long+winding+road_20116902.html	the+long+and+winding+road_20241178.html
31882	6542	dummy_value	heartache+tonight_20464280.html	back+in+business_20086873.html
76074	72934	dummy_value	the+old+mans+back+in+town_20057971.html	take+it+to+the+limit_20805980.html
34778	19747	dummy_value	how+many+more+times_20081912.html	doctor+junk_20075460.html
34999	4048	dummy_value	hung+up_20536858.html	amazing_20086939.html
42353	6542	dummy_value	its+only+love_20025526.html	back+in+business_20086873.html
77050	77049	dummy_value	the+very+thought+of+you_20007906.html	the+very+thought+of+you_10179376.html
77050	77048	dummy_value	the+very+thought+of+you_20007906.html	the+very+thought+of+you_10140732.html
26454	15102	dummy_value	franks+theme_20138843.html	cold+cold+ground_20138774.html
34345	11394	dummy_value	hot+dog_20081909.html	bron+y+aur+stomp_20082107.html
73114	16664	dummy_value	taketaketake_10187181.html	crimes+of+passion_20086904.html
11394	9606	dummy_value	bron+y+aur+stomp_20082107.html	blind+love_20021999.html
50008	23512	dummy_value	love+tried+to+welcome+me_20086839.html	everything+you+can+think_20336531.html
48604	18616	dummy_value	long+road+out+of+eden_20659173.html	desperado_20027510.html
62849	50964	dummy_value	ramble+on_20306756.html	make+it+rain_20463891.html
48604	18619	dummy_value	long+road+out+of+eden_20659173.html	desperado_20186817.html
